latitude,longitude,,,,,
13.5675,100.8223,,,,,
13.5675,100.8224,,,,,
13.5675,100.8225,,,,,
13.5676,100.8226,,,,,
13.5676,100.8227,,,,,
13.5676,100.8228,,,,,
13.5676,100.8229,,,,,
13.5676,100.823,,,,,
13.5676,100.8231,,,,,
13.5676,100.8232,,,,,
13.5677,100.8233,,,,,
13.5677,100.8234,,,,,
13.5677,100.8235,,,,,
13.5677,100.8236,,,,,
13.5677,100.8237,,,,,
13.5678,100.8238,,,,,
13.5678,100.8239,,,,,
13.5678,100.824,,,,,
13.5678,100.8241,,,,,
13.5678,100.8242,,,,,
13.5679,100.8244,,,,,
13.5679,100.8245,,,,,
13.5679,100.8246,,,,,
13.5679,100.8247,,,,,
13.568,100.8248,,,,,
13.568,100.825,,,,,
13.568,100.8251,,,,,
13.568,100.8252,,,,,
13.5681,100.8253,,,,,
13.5681,100.8254,,,,,
13.5681,100.8256,,,,,
13.5681,100.8257,,,,,
13.5681,100.8257,,,,,
13.5682,100.8258,,,,,
13.5682,100.8259,,,,,
13.5682,100.826,,,,,
13.5682,100.8261,,,,,
13.5682,100.8262,,,,,
13.5682,100.8263,,,,,
13.5683,100.8264,,,,,
13.5683,100.8265,,,,,
13.5683,100.8266,,,,,
13.5683,100.8267,,,,,
13.5683,100.8268,,,,,
13.5684,100.8269,,,,,
13.5684,100.827,,,,,
13.5684,100.8271,,,,,
13.5684,100.8272,,,,,
13.5684,100.8274,,,,,
13.5685,100.8275,,,,,
13.5685,100.8276,,,,,
13.5685,100.8277,,,,,
13.5685,100.8279,,,,,
13.5686,100.828,,,,,
13.5686,100.8281,,,,,
13.5686,100.8282,,,,,
13.5686,100.8283,,,,,
13.5687,100.8284,,,,,
13.5687,100.8286,,,,,
13.5687,100.8287,,,,,
13.5687,100.8288,,,,,
13.5687,100.8289,,,,,
13.5688,100.829,,,,,
13.5688,100.8291,,,,,
13.5688,100.8293,,,,,
13.5688,100.8294,,,,,
13.5689,100.8295,,,,,
13.5689,100.8296,,,,,
13.5689,100.8296,,,,,
13.5689,100.8297,,,,,
13.5689,100.8298,,,,,
13.5689,100.8298,,,,,
13.5689,100.8299,,,,,
13.569,100.83,,,,,
13.569,100.83,,,,,
13.569,100.83,,,,,
13.569,100.83,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8301,,,,,
13.569,100.8302,,,,,
13.569,100.8302,,,,,
13.569,100.8303,,,,,
13.569,100.8303,,,,,
13.569,100.8304,,,,,
13.5691,100.8305,,,,,
13.5691,100.8306,,,,,
13.5691,100.8306,,,,,
13.5691,100.8307,,,,,
13.5691,100.8308,,,,,
13.5691,100.8309,,,,,
13.5692,100.831,,,,,
13.5692,100.8311,,,,,
13.5692,100.8312,,,,,
13.5692,100.8313,,,,,
13.5692,100.8314,,,,,
13.5693,100.8316,,,,,
13.5693,100.8317,,,,,
13.5693,100.8318,,,,,
13.5693,100.8319,,,,,
13.5693,100.832,,,,,
13.5694,100.8321,,,,,
13.5694,100.8322,,,,,
13.5694,100.8323,,,,,
13.5694,100.8324,,,,,
13.5695,100.8325,,,,,
13.5695,100.8326,,,,,
13.5695,100.8327,,,,,
13.5695,100.8328,,,,,
13.5695,100.833,,,,,
13.5695,100.8331,,,,,
13.5696,100.8332,,,,,
13.5696,100.8333,,,,,
13.5696,100.8334,,,,,
13.5696,100.8335,,,,,
13.5696,100.8336,,,,,
13.5697,100.8337,,,,,
13.5697,100.8338,,,,,
13.5697,100.8339,,,,,
13.5697,100.834,,,,,
13.5698,100.8341,,,,,
13.5698,100.8342,,,,,
13.5698,100.8343,,,,,
13.5698,100.8344,,,,,
13.5699,100.8345,,,,,
13.5699,100.8346,,,,,
13.5699,100.8347,,,,,
13.5699,100.8348,,,,,
13.5699,100.8349,,,,,
13.5699,100.835,,,,,
13.57,100.8351,,,,,
13.57,100.8352,,,,,
13.57,100.8353,,,,,
13.57,100.8354,,,,,
13.57,100.8354,,,,,
13.57,100.8355,,,,,
13.5701,100.8356,,,,,
13.5701,100.8357,,,,,
13.5701,100.8358,,,,,
13.5701,100.8359,,,,,
13.5701,100.836,,,,,
13.5702,100.836,,,,,
13.5702,100.8361,,,,,
13.5702,100.8362,,,,,
13.5702,100.8362,,,,,
13.5702,100.8363,,,,,
13.5702,100.8363,,,,,
13.5702,100.8364,,,,,
13.5702,100.8365,,,,,
13.5702,100.8365,,,,,
13.5703,100.8365,,,,,
13.5703,100.8366,,,,,
13.5703,100.8366,,,,,
13.5703,100.8366,,,,,
13.5703,100.8367,,,,,
13.5703,100.8367,,,,,
13.5703,100.8368,,,,,
13.5703,100.8368,,,,,
13.5703,100.8369,,,,,
13.5703,100.8369,,,,,
13.5703,100.8369,,,,,
13.5703,100.837,,,,,
13.5703,100.837,,,,,
13.5704,100.837,,,,,
13.5704,100.837,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8371,,,,,
13.5704,100.8372,,,,,
13.5704,100.8372,,,,,
13.5704,100.8372,,,,,
13.5704,100.8372,,,,,
13.5705,100.8372,,,,,
13.5705,100.8372,,,,,
13.5705,100.8372,,,,,
13.5705,100.8372,,,,,
13.5705,100.8372,,,,,
13.5705,100.8372,,,,,
13.5706,100.8372,,,,,
13.5706,100.8372,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
